x,y
2.1,60.5
4.5,133.0
2.7,72.8
3.4,96.9
2.8,112.3
4.9,146.5
3.4,116.2
1.3,86.9
1.6,68.6
3.9,110.6
4.0,110.9
2.8,123.6
3.2,116.3
2.5,106.5
4.5,129.5
2.3,95.5
1.5,82.6
2.9,120.5
0.4,61.8
4.8,132.7
1.7,96.6
2.0,77.6
3.0,85.9
2.6,96.1
3.8,106.8
3.1,96.8
2.8,96.6
4.2,128.2
2.6,100.9
5.2,130.1
3.8,126.5
3.2,108.1
1.4,83.4
5.0,127.2
3.4,94.7
4.5,104.6
4.5,112.9
2.7,107.5
3.3,107.5
3.3,103.3
5.3,123.5
2.8,97.2
3.1,90.8
3.4,92.4
3.7,97.5
4.0,121.5
4.2,118.5
2.1,113.5
2.0,96.9
1.0,91.4
